supplier_name,product_name,unit_pack_info
,,
Bidco,,
 ,Veebol 10kg,
Kitale Industries,,
  ,Shibe Sima 12X2 Kg,
,Shibe Sima 1kg 24 Z,
,Shibe Sima 500grmX24,
Malindi Flour Millers Ltd,,
,Mumtaz Hb Wheat 1kgx24 Z,
,Mumtaz Hb Wheat 2kgx12 Z,
,Unga King Maize 1kgx 24,
,Unga King Maize 2kg X12 Z,
Salim Alamudi General Suppliers,,
,Savana Orange 1LtsX12 V,
Towfiq (K) Ltd (V),,
,Doom 6X400ml,
,Doom Lemon 12X600ml,
,Harpic Liquid 1ltrX12,
,Harpic Liquid 500mlX24,
,Jik Reg 144X70ml V,
,Jik Reg 18X250ml,
,Jik Reg 18X750ml,
,Jik Reg 4x5ltr V,
,Jik Reg 12x12x70ml,
Glacier Products LTD,,
,Amore Salted Caramel 4ltr,
,Dcc Chocolate 500gX20 V,
,D/land Blueberry Swirl 4ltr,
,D/land Caramel/nuts 4ltr,
,D/land Chocolate 4ltr,
,D/land Chocolate Sauce 10X650g,
,D/land Coffee 4ltrs,
,D/land Dark N Darker 1ltr,
,D/land Fudge Sauce 10X650g,
,D/land Kulfi 4ltr,
,D/land Mini Caramel W Nuts 18 x 70ml,
,D/land Mini Fiesta Classic 18 x 70ml,
,D/land Mint 4ltrs,
,D/land Neopolitan 4ltrs,
,D/land S/berry Sauce 10X650g,
,D/land Vanilla Chocolate 4ltr,
,D/land White Compound Chocolate 4X2.5g,
,D/land Chocolate Spread 12X275g,
,Dcc Chocolate 2.5kgX4,
,D/land Chocolate Spread 6X650g,
Sesia,,
,Sesia Pure Honey 1kg x 12,
,Sesia Pure Honey 500gX24,
,Sesia Pure Honey Squeez 500gX24,
,Sesia Pure Honey 300gX24,
,Sesia Pure Honey Squeez 350gX24,
,Al Anaf Rice 10kg,
,Al Maaruf Proboil 25kg,
,Capital Proboiled  Rice 25kg,
,Daljir Rice 25kg,
,Indus Rice 25kg,
,Kunde 50 Kg,
,Mama Mariam 20kg Bag Z,
,Mama Maryam 1X20kg Z,
,Mbaazi 1 X50,
,Mudhokoi 1X50kg,
,Pojo 1X50kg Z,
,Salama Praboiled Rice 1X25kg,
,Sara Proboil Rice 25kg,
,Tamu Rice Steam 1X20kg Z,
,Tasty Proboil Rice 25kg,
,Whole Maize 1X90kg,
,Al Anaf Rice 20kg,
,Anab Rice 20kg,
,Beans 90kg Sck,
Krystalline Salt Limited,,
,Salt 2kg X10 V,
,Salt 1kgX20 V,
,Salt 200grm X 30 V,
,Salt 500gX40 V,
Regerial Limited,,
,Uji Pwani 450gX12,
Hasbah Kenya,,
,Always Maxi Thick Extra Long 16 x 7,
,Always Ulta Nor 3 in 1 Herbal 16 x 7,
,Gillette 2 Disposables 1's,
,Gillette Blue II Plus Disp 1's,
,Nutella 350g x 15 V,
,Nutella 750g X12 V,
,Downy Sachet Lavender Calm 20ml x 60,
,Downy Sachet Sweet Elegance 20ml x 60,
,Downy Sachet Sunrise Fresh 20ml x 60,
,Downy Pouch Lavender Calm 300ml x 24,
,Downy Pouch Sunrise Fresh 300ml x 24,
,Downy Pouch Sweet Elegance 300ml x 24,
Green Belt,,
,Flower Moja Kwa Moja,
,Flower Kabambe Moja Kwa Moja,
,Flower Mosquito Coil,
Lakhan General Supplies,,
,Alfa Ketchup 340gX24,
,Alfa Ketchup 5lX4,
,Alfa Mayonnaise 946mlx12 V,
,Anchovy Fillet 50grmX12 V,
,Birthday Candles 1X24,
,Capers 100grmX12 V,
,Clover Brown Sugar 1kgX18,
,Clover Caster Sugar 500gX36 V,
,Cooking Cream 1lX12,
,Desicated Coconut  500gX24 Z,
,Italian Fusili 400gX20,
,Italiano Fettuccini Pasta 400g x 20,
,Italian Penne Pasta 400gX20,
,Latest Hw 5ltr V,
,Marmalade 350g Jr,
,Mushroom Whole 400gX24 V,
,Olive Oil Ex-Vergine 1ltrx12 V,
,Olive Oil Ex-Vergine 500mlX12 V,
,Pastry Magarine 2kgX6 V,
,Pastry Margarine 2kgX5 V,
,Peeled Tomato 2.5kgX6 V,
,Pizza Boxes 12'X12 V,
,Pristine Whipping Cream 1ltX12,
,Soya Saurce Light 625mlX24 V,
,Soy Sauce 750ml x 12 V,
,Sultanas 500g V,
,Super Chef Mayonnaise 946mlX12,
,Zaza Mayonnaise 500mlX12,
,Zaza Mayonnaise 946mlX12,
,Kitchen Strings 1x12,
,Gelatine 24X500g,
,Club Candle Red 1 x 40,
,Grease Proof Paper 50cmX75cmX500pcs,
,Black Olive 345gx12 V,
,Gherkings 680g X12 V,
,Club Candle White 1 x 40,
,Balsamic Vineger 500mlX12,
,LGS Sultanas 500g V,
,Oyester Sauce 510gX15,
,Chef Soy Sauce Light 625mlX12,
,Pizza Boxes 12in X 12in,
,Tabasco Sauce 60ml*72 V,
,Red Wine Vineger 500mlX12,
,Mushrooms Sliced 1x24 V,
,White Wine Vineger 500mlX12,
,Worcestershire Sauce 290mlX12,
,Heinz Squeezy Kechup 295grmx12 V,
,Green Olive 340gx12 V,
,Heinz Mustard 12x245g V,
Zen Mahitaj,,
,Blue Band 360X15g,
,Nescafe Classic 6 98 x 1.5g Promo 6+1,
,Blue Band 48X250g,
,Blue Band 1X24X500grms V,
,Blue Band 12x1kg V,
,Nescafe Classic 6 x 12 x 8 Promo 6 +1,
,Blue Band 48X100g,
,Blue Band 180X30g,
Binliglim,,
,Bazuu 500ml x 12,
,Club Soda Apple 350mlX12,
,Club Soda B/current 500ml x 12 V,
,Club Soda Cola 500ml x 12 V,
,Club Soda Lemon 500ml x 12 V,
,Club Soda Lemonade 350mlX12 V,
,Club Soda Orange 500ml x 12 V,
,Club Soda Pinacolada 350ml x 12 V,
,Club Soda Pineapple 500ml x 12 V,
,Highlands Lemon 1ltX12 V,
,Highlands Lemon 2ltX6 V,
,Highlands Lemon 3lX6,
,Highlands Mango 1ltX12 V,
,Highlands Mango 2ltX6 V,
,Highlands Mango 3ltr*6 V,
,Highlands Orange 1ltr*12 V,
,Highlands Pineapple 1ltX12 V,
,Highlands Tropical 1ltX12 V,
,Highlands Tropical 2ltrX6 V,
,Highlands Tropical 3ltrX6 V,
,Highlands Tropical 5ltX4 V,
,Highland Tropical 1ltrX12 V,
,Idp Netax 10kg,
,Kisskids Diaper H/L 6x40 No4,
,Kisskids Diaper H/M 6x44 No3,
,Kisskids Diaper H/S 6X48 No2,
,Milkpower Choco 72pktX5pc,
,Club Soda Passion 350mlX12,
,Club Soda Mango 350ml x 12 V,
,Kericho Gold Teabag 100's x 12pkts,
,Highlands Pineapple 5ltr * 4 V,
,Highlands Orange 2lt X 6 V,
,Highlands Pineapple 2ltX6 V,
,Club Soda Cola 350mlX12 V,
,Highlands Orange 5ltr * 4 V,
,Baraka Chai Tangawizi 20x15pktx15gm,
,Highlands Pineapple 3litrx6 V,
,Club Soda Tangawizi 350mlX12 V,
,Club Soda Papple 350mlX12 V,
,Highlands Orange 3litrx6 V,
,Club Soda Bcurrent 350mlX2 V,
,Club Soda Lemon 350mlX12 V,
,Milkpower 72 X4 V,
,Club Soda Orange 350mlX12 V,
Bhumi Distributors,,
,Virani Curry Powder 500gX30,
,Virani Mixed Herbs 100gX6,
,Virani Oregano 20gX6,
,Virani Rosemary 20gX6,
,Virani Tumeric Ground 100gX6,
,Virani Black Pepper Ground 100gX6,
,Virani Pilau Masala 100gX6,
,Pipi Maziwa 20 x 80pcs,
,Virani Curry Powder 10gx24x12,
Hayat K K Ltd,,
,Molfix Size 2 Mini Jumbo P.80sx3 V,
,Molfix Size 2 Mini S.Pack 15sx10 V,
,Molfix Size 2 S 10X12,
,Molfix Size 3 M 9X12,
,Molfix Size 3 Midi Jumbo. P 72sx3 V,
